method,V_pi,SE
OracleFQE,2.813680648803711,0.02918499572477737
NaiveFQE,5.814639568328857,0.028031430594499196
ImputeFQE,9.553025245666504,0.03765924189354587
IPW-FQE,5.581800937652588,0.02866626954159927
SCOPE,-4089.207465114226,786.8299421938225
ProxFQE,3.3897275924682617,0.027089251794778994
