method,V_pi,SE
OracleFQE,2.463986873626709,0.030000750699418474
NaiveFQE,7.333773612976074,0.03288889169864413
ImputeFQE,13.174166679382324,0.04343041624560356
IPW-FQE,7.100304126739502,0.03255866320562259
SCOPE,10667.874258987084,2037.3012361222648
ProxFQE,3.8117668628692627,0.02785848249533221
