method,V_pi,SE
OracleFQE,2.3239998817443848,0.030296167389988495
NaiveFQE,11.761102676391602,0.03419645875224796
ImputeFQE,20.023653030395508,0.056868503023780125
IPW-FQE,11.913294792175293,0.035088020776207374
SCOPE,-7096.649573465438,1373.6024550297782
ProxFQE,4.9801554679870605,0.02929320121362622
