method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0,reward_type
scope,512,8,325,5.003316358975839,4.4808856412836375,0.5224307176922016,0.5224307176922016,0.1165909508778584,0.2729338547883889,0.205322265625,0.3,sigmoid
naive,512,8,326,3.7939043045043945,4.4561798961883055,-0.6622755916839109,0.6622755916839109,0.14861958159507954,0.43860895934027433,0.2119140625,0.3,sigmoid
prox,512,8,326,4.317634105682373,4.4561798961883055,-0.1385457905059324,0.1385457905059324,0.03109070857405032,0.01919493606691371,0.2119140625,0.3,sigmoid
ipw,512,8,326,3.876859426498413,4.4561798961883055,-0.5793204696898924,0.5793204696898924,0.1300038335942019,0.3356122066017175,0.2119140625,0.3,sigmoid
impute,512,8,326,0.3913221061229706,4.4561798961883055,-4.064857790065335,4.064857790065335,0.9121844011599045,16.523068853454838,0.2119140625,0.3,sigmoid
scope,512,8,326,4.173528338085676,4.4561798961883055,-0.28265155810262943,0.28265155810262943,0.06342911746996611,0.0798919032978441,0.2119140625,0.3,sigmoid
naive,512,8,327,4.334564208984375,4.474121260080141,-0.13955705109576577,0.13955705109576577,0.03119205827990143,0.01947617051054618,0.1982421875,0.3,sigmoid
prox,512,8,327,4.7522783279418945,4.474121260080141,0.27815706786175376,0.27815706786175376,0.06217021213608578,0.07737135440144828,0.1982421875,0.3,sigmoid
ipw,512,8,327,4.244609832763672,4.474121260080141,-0.2295114273164689,0.2295114273164689,0.051297542908427536,0.052675495268842784,0.1982421875,0.3,sigmoid
impute,512,8,327,-10.528249740600586,4.474121260080141,-15.002371000680727,15.002371000680727,3.353143584761045,225.07113564206603,0.1982421875,0.3,sigmoid
scope,512,8,327,4.495541338880129,4.474121260080141,0.021420078799987863,0.021420078799987863,0.004787549901945256,0.0004588197757976895,0.1982421875,0.3,sigmoid
naive,512,8,328,4.079598903656006,4.497020382523454,-0.41742147886744796,0.41742147886744796,0.09282178939852091,0.17424069101988732,0.205322265625,0.3,sigmoid
prox,512,8,328,4.521728038787842,4.497020382523454,0.024707656264387978,0.024707656264387978,0.005494228213954313,0.0006104682780791505,0.205322265625,0.3,sigmoid
ipw,512,8,328,3.9633073806762695,4.497020382523454,-0.5337130018471843,0.5337130018471843,0.11868147271943141,0.28484956834073255,0.205322265625,0.3,sigmoid
impute,512,8,328,-4.848363876342773,4.497020382523454,-9.345384258866227,9.345384258866227,2.0781280634583577,87.33620694586466,0.205322265625,0.3,sigmoid
scope,512,8,328,4.260368444150876,4.497020382523454,-0.23665193837257803,0.23665193837257803,0.05262416405588613,0.05600413993549847,0.205322265625,0.3,sigmoid
naive,512,8,329,4.0330705642700195,4.494659863917292,-0.46158929964727236,0.46158929964727236,0.10269727045484976,0.21306468154885938,0.2001953125,0.3,sigmoid
prox,512,8,329,4.512861251831055,4.494659863917292,0.0182013879137628,0.0182013879137628,0.004049558468235124,0.00033129052198727055,0.2001953125,0.3,sigmoid
ipw,512,8,329,4.084569454193115,4.494659863917292,-0.41009040972417665,0.41009040972417665,0.09123947576463884,0.1681741441477431,0.2001953125,0.3,sigmoid
impute,512,8,329,-0.37215274572372437,4.494659863917292,-4.866812609641016,4.866812609641016,1.0827988673206024,23.685864977360797,0.2001953125,0.3,sigmoid
scope,512,8,329,4.70623943496255,4.494659863917292,0.2115795710452577,0.2115795710452577,0.047073544484155225,0.04476591488369525,0.2001953125,0.3,sigmoid
naive,512,8,330,3.8205819129943848,4.480178226797966,-0.659596313803581,0.659596313803581,0.14722546300909148,0.4350672971832721,0.198486328125,0.3,sigmoid
prox,512,8,330,4.256567478179932,4.480178226797966,-0.2236107486180341,0.2236107486180341,0.049911127928017995,0.05000176689751764,0.198486328125,0.3,sigmoid
ipw,512,8,330,3.9241976737976074,4.480178226797966,-0.5559805530003583,0.5559805530003583,0.12409786505250796,0.30911437531458424,0.198486328125,0.3,sigmoid
impute,512,8,330,-8.03431510925293,4.480178226797966,-12.514493336050895,12.514493336050895,2.7933025657765285,156.61254345806228,0.198486328125,0.3,sigmoid
scope,512,8,330,4.497532592267324,4.480178226797966,0.01735436546935798,0.01735436546935798,0.0038735881902094197,0.0003011740008440446,0.198486328125,0.3,sigmoid
naive,512,8,331,3.9700260162353516,4.479226728723336,-0.509200712487984,0.509200712487984,0.11368049516732454,0.2592853655982706,0.20263671875,0.3,sigmoid
