method,n,T,mnar_c0,mean_value,true_mean,mean_bias,mean_mae,mean_mae_rel,mean_mse,sd,n_rep,missing
impute,512,2,-2.8,0.9814215660095215,1.1194891740359736,-0.13806760802645218,0.1497681464815107,0.13379140081618127,0.027232637651403543,0.09146832530758991,50,0.789921875
impute,512,2,-1.5,0.958829904794693,1.111017905046721,-0.15218800025202792,0.15218800025202792,0.13697784951815892,0.026518850503237875,0.05848274507025257,50,0.55197265625
impute,512,2,-0.7,0.9545451056957245,1.1021839438826,-0.1476388381868755,0.1476388381868755,0.1339448714732518,0.024587995620812597,0.05323080329327233,50,0.3878515625
impute,512,2,0.3,0.9338903915882111,1.0907362933878217,-0.15684590179961058,0.15684590179961058,0.14380024280992731,0.027972232795639363,0.058706966160107836,50,0.21466796875
impute,512,4,-2.8,1.722073802947998,2.46301697814172,-0.7409431751937221,0.7409431751937221,0.3008205667051625,0.6139170456761646,0.25722998451805174,50,0.7873046875
impute,512,4,-1.5,1.872264542579651,2.3829341202736924,-0.5106695776940414,0.524438573369244,0.22011944862424168,0.3465985632355668,0.29674071573323524,50,0.547685546875
impute,512,4,-0.7,1.806053272485733,2.311949783292134,-0.5058965108064009,0.5303894871973485,0.2294221303169085,0.4329036802844234,0.4252198067650133,50,0.38216796875
impute,512,4,0.3,1.4887260422110558,2.2225053262119188,-0.7337792840008629,0.7826298589978563,0.3520961812461968,1.0334111196479479,0.7105934282014152,50,0.21005859375
impute,512,8,-2.8,2.2228252017498016,5.580757308998427,-3.357932107248626,3.357932107248626,0.6016809494407126,11.540062788062265,0.5182861040273596,50,0.7816748046875
impute,512,8,-1.5,2.13607889354229,5.227582534845942,-3.0915036413036523,3.0915036413036523,0.5913792813559124,9.98334028853776,0.6590949555169674,50,0.5373828125
impute,512,8,-0.7,0.8915490384399891,4.894606896604784,-4.003057858164795,5.046355851803027,1.031203000650878,33.33377860588161,4.201373273101361,50,0.3722216796875
impute,512,8,0.3,-4.953801165521145,4.479611629645282,-9.433412795166426,9.924716719269533,2.2154046060631405,156.64064558429928,8.308045937676741,50,0.2008740234375
impute,512,16,-2.8,2.466041986942291,12.635264077408078,-10.169222090465786,10.169222090465786,0.8048327231418345,103.63129905081627,0.4730519039712522,50,0.77439697265625
impute,512,16,-1.5,1.4668633998930454,11.701751202429017,-10.234887802535972,10.234887802535972,0.8746083338812582,114.78413318823104,3.1976672316323453,50,0.5231591796875
impute,512,16,-0.7,10.839408144801855,10.571694652602527,0.2677134921993271,42.786534801137975,4.039325325235724,12628.385419241344,113.52188268870181,50,0.35665283203125
impute,512,16,0.3,434.4594318294525,9.028339344350616,425.4310924851019,632.3184784924094,69.91577237671122,3818407.7401808524,1926.5687231080615,50,0.18800537109375
impute,512,32,-2.8,2.4231058847904205,27.582352213879027,-25.159246329088607,25.159246329088607,0.9121487916626317,633.2485041524557,0.5127187810131105,50,0.76359375
impute,512,32,-1.5,1.6049421240389348,25.99763986932104,-24.392697745282106,24.392697745282106,0.9382550658123893,598.8790066262073,1.9843430826862958,50,0.5024365234375
impute,512,32,-0.7,29.5079784642905,23.126960636833623,6.381017827456878,81.68937307159037,3.529982536847024,39748.50076195655,201.2875139442445,50,0.334404296875
impute,512,32,0.3,1651.9956300020217,18.254490058448173,1633.741139943574,10656.432147054398,584.4784649074286,806209314.8516588,28634.593655614393,50,0.17142333984375
ipw,512,2,-2.8,1.0946306896209717,1.1194891740359736,-0.024858484415001988,0.03872950284338682,0.03460139570658427,0.0022602866651986408,0.041320262524718876,50,0.789921875
ipw,512,2,-1.5,1.087917811870575,1.111017905046721,-0.023100093176145964,0.03226462328376003,0.029045952790610605,0.0015914021590860148,0.03330448259843179,50,0.55197265625
ipw,512,2,-0.7,1.083222041130066,1.1021839438826,-0.018961902752534076,0.02968645651733822,0.02693694229474895,0.0014613597415202367,0.03382277258185706,50,0.3878515625
ipw,512,2,0.3,1.0797757005691528,1.0907362933878217,-0.010960592818668805,0.023762748374704285,0.02178318198907569,0.0009016056220254051,0.028392063385649948,50,0.21466796875
ipw,512,4,-2.8,2.1276089000701903,2.46301697814172,-0.3354080780715297,0.34201032664508335,0.13887329847409727,0.1608959708704968,0.22284430034268923,50,0.7873046875
ipw,512,4,-1.5,2.141291387081146,2.3829341202736924,-0.24164273319254603,0.25755888367873925,0.10807504036928949,0.08766127477667231,0.17268308906301724,50,0.547685546875
ipw,512,4,-0.7,2.145081741809845,2.311949783292134,-0.1668680414822889,0.1668680414822889,0.0721874058091536,0.03185569210518177,0.06502078088800739,50,0.38216796875
ipw,512,4,0.3,2.1432100415229796,2.2225053262119188,-0.07929528468893893,0.08671340953217138,0.039019527366715476,0.01097504116864143,0.06972285489720331,50,0.21005859375
ipw,512,8,-2.8,4.035059218406677,5.580757308998427,-1.5456980905917503,1.6270011269628184,0.291517959285014,3.0662233461159265,0.8309797787157386,50,0.7816748046875
ipw,512,8,-1.5,3.564716029167175,5.227582534845942,-1.6628665056787668,1.6628665056787668,0.3178605146540715,12.409132859462813,3.134933591823514,50,0.5373828125
ipw,512,8,-0.7,4.0767623138427735,4.894606896604784,-0.8178445827620103,0.8178445827620103,0.1670762565479347,0.7696102677272776,0.3196120797462482,50,0.3722216796875
ipw,512,8,0.3,3.9790506887435915,4.479611629645282,-0.5005609409016906,0.5034746015247447,0.1123837580660075,1.0900827904116621,0.9254653083312995,50,0.2008740234375
ipw,512,16,-2.8,10.035865819454193,12.635264077408078,-2.599398257953884,8.188033025922843,0.6480695698182746,184.37150269191673,13.45921026515745,50,0.77439697265625
ipw,512,16,-1.5,8.80147301673889,11.701751202429017,-2.9002781856901265,4.205202506166057,0.3594337788554616,25.82098360532874,4.210380230724982,50,0.5231591796875
ipw,512,16,-0.7,4.438504729270935,10.571694652602527,-6.133189923331594,6.154777547935129,0.5829750416164421,330.90496928652203,17.304667833875687,50,0.35665283203125
ipw,512,16,0.3,7.920162944793701,9.028339344350616,-1.1081763995569143,1.3757179147989103,0.1523568569827452,2.565920087814057,1.1647228535291034,50,0.18800537109375
ipw,512,32,-2.8,56.87477124691009,27.582352213879027,29.29241903303107,93.85522596834889,3.402172623186836,167527.78393808924,412.40389194245336,50,0.76359375
ipw,512,32,-1.5,21.86240137577057,25.99763986932104,-4.135238493550475,31.724460238817418,1.2201513233592498,5969.040912076673,77.93798999516494,50,0.5024365234375
ipw,512,32,-0.7,66.78031415462493,23.126960636833623,43.65335351779132,56.19312694986106,2.4225391160459187,83263.31186267942,288.1421379410263,50,0.334404296875
ipw,512,32,0.3,13.453463087081909,18.254490058448173,-4.801026971366263,15.344942776909907,0.8394593577674812,964.6421553841942,30.990254018857534,50,0.17142333984375
naive,512,2,-2.8,1.0936722302436828,1.1194891740359736,-0.025816943792290808,0.03678676343676553,0.03286476508125845,0.002349941867640379,0.04191634874594677,50,0.789921875
