method,V_pi,SE
OracleFQE,2.942000150680542,0.029205222004496108
NaiveFQE,4.536945343017578,0.02696525410173687
ImputeFQE,6.216372966766357,0.02843570399883325
IPW-FQE,4.146572589874268,0.025879279094641276
SCOPE,10408.219394179614,1991.0138120553959
ProxFQE,2.9932632446289062,0.026337032748995532
